,Unnamed: 0,Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID,Year,Month,Day
11904,126705,2024-01-24,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,"Zions Debt Holdings has posted a collection action on my credit report with respect to an alleged debt owed in connection with an account I previously had with years ago ( Account Number ) That account was cancelled in ( in accordance with the terms of the agreement with ) and at the time of cancellation no amounts were owed. I supplied all of this information ( and more ) to Zions, including a copy of both the agreement I had with showing my right to cancel ) and a copy of the cancellation letter I sent to I have also disputed this account with times already. However, in each case Zions continued to allege that the subject collection action was valid without suppling any supporting information whatsoever ; either to me or to I",Company believes the complaint provided an opportunity to answer consumer's questions,Zions Debt Holdings,IL,60448,,Consent provided,Web,2024-01-24,Closed with explanation,Yes,,8211366,2024,1,24
1612203,4420490,2024-01-03,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,"Ive sent multiple Dispute letters, validation letters, and spoken directly with representatives from CRAs s well as furnishers, and my documents and letters have been disregarded. Investigations have been completed and validated on companies that do not even accept phone calls. Accounts are continuing to be reported that are more than and legislature started in the FCRA has been grossly disregarded.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,758XX,,Consent provided,Web,2024-01-03,Closed with non-monetary relief,Yes,,8089409,2024,1,3
701090,1831588,2024-01-06,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Investigation took more than 30 days,I filed a dispute with the credit reporting agencies in regards to inaccurate information reporting to my credit reports. I never received any notifications in regards to the investigation results. It has now been 30 days since I filed a 30-day demand to comply with the Credit Bureaus and still have yet to receive a response.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",IL,603XX,,Consent provided,Web,2024-01-06,Closed with non-monetary relief,Yes,,8110507,2024,1,6
153799,516861,2024-01-05,Debt collection,Credit card debt,Communication tactics,Frequent or repeated calls,"1 , PA ) sent my letters to connect {1 2 calls me twice per week phone time and time I want to stop calls and send letters because I am and have no income, receive money from Social Security only",Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,GA,30093,Older American,Consent provided,Web,2024-01-05,Closed with non-monetary relief,Yes,,8111916,2024,1,5
106867,407777,2024-01-05,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,"i would like the following inquiries removed from my credit report because I did not authorize the following companies to pull my credit report. You are fine. Many of these are duplicates, I also have a letter from my mortgage company saying that there was an external data breach TransUnion",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NC,27704,,Consent provided,Web,2024-01-05,Closed with non-monetary relief,Yes,,8115354,2024,1,5
3779,95188,2024-01-04,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Difficulty submitting a dispute or getting information about a dispute over the phone,On several occasions I have contacted the company and the CRAs to provide a copy of a contract with a wet signature proving my business interaction directly with the reporting company of Per I was told to look online for this information and there no available information. I have asked to have the reportings removed if the information could not be provided and the companies continue to report against my request of proof. Neither of the reporting companies have given me a valid source of proof to report those disputed accounts.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",AZ,85396,,Consent provided,Web,2024-01-04,Closed with non-monetary relief,Yes,,8097047,2024,1,4
1613427,4426736,2024-01-06,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"I am Filing an Complaint As A Federal Protected Consumer To Exercise My Consumer Rights And Resolved Inaccuracy and Unfair Activity In Concern With My Credit report. I Am Also now opting out of ANY and ALL authorization I the consumer may have given you written, no-written, verbal and non-verbal per 15 USC 6802. Im Rescinding that authorization per 15 USC 6802. According To 12 CFR 1016.7 states that a Consumer may exercise the right to OPT OUT at any time. This is effective immediately and indefinitely. According to Fair Credit Reporting Act, 15 U.S. Code 1681 - Congressional findings and statement of purpose. Accuracy and fairness of credit reporting The Congress makes the following findings : The banking system is dependent upon fair and accurate credit reporting. Inaccurate credit reports directly impair the efficiency of the banking system, and unfair credit reporting methods undermine the public confidence which is essential to the continued functioning of the banking system Attached to this CFPB Complaint, I have attached Proof Copy of Inaccurate Findings On My Credit Report. I Have Circled In Red all Inaccuracies On Credit Reports With TransUnion",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,32810,,Consent provided,Web,2024-01-06,Closed with non-monetary relief,Yes,,8115860,2024,1,6
697199,1823188,2024-01-06,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,"This is one of several times I've discovered that my credit report had inaccurate information. The three credit bureaus must verify these accounts in accordance with Sections 609 ( a ) ( 1 ) ( A ) and 611 ( a ) ( 1 ) ( A ) It is not acceptable to report these accounts as unconfirmed information without validating them within the legally required time range. The following false information on my credit report has to be investigated, amended, or completely removed",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,33016,,Consent provided,Web,2024-01-06,Closed with non-monetary relief,Yes,,8114411,2024,1,6
225125,749200,2024-01-08,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,"Ive ask many times the creditors to provide me with proof and documentation that my account that they report on my credit report is accurate, according to my knowledge its not even 80 % accurate, Ive ask them many time to proof me and send me documentation and they did never, according to the counsumer law in credit reporting, they need to remove this account from my report since they didnt provide me documentation and its not accurate, pls take this seriously and remove it from my report!",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NY,XXXXX,,Consent provided,Web,2024-01-08,Closed with explanation,Yes,,8121394,2024,1,8
650,26197,2024-01-27,Prepaid card,Payroll card,Problem with a purchase or transfer,Card company isn't resolving a dispute about a purchase or transfer,"Went to in Illinois on "" with a positive pay '' check ( {43 ) Its required to be verified before cashing. So since the check had on it i decided to go there to avoid check cashing fees. The teller attempted to cash the check before verification which kicked the check out as fraud. She then called to get the verification code which they provided her with which allows the bank ) to be paid. She then attempted to cashed the check again which came back as fraud again. There was nothing she could do therefore I left and called my issuing bank ( skylight financial/ netspend to void the check. Long story short the check couldn't be voided due to was provided the authorization code which entitled them to the funds. Well they ) did receive the funds on the of but and returned it on the since I was not their customer. Well today is and my issuing bank ( skylight/ netspend says nothing was returned to them. l 've been to several times since aswell as called skylight/netspend several times with no help. Those funds were a loan from my tax refund and my family is in dire need we are now facing in Eviction from our home. Please help!",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Netspend Corporation,IL,60411,,Consent provided,Web,2024-01-27,Closed with explanation,Yes,,8233541,2024,1,27
